"Search Parameters"	"Year"	"Mo"	"Dy"	"Hr"	"Mn"	"Sec"	"Tsu"	"Vol"	"Location Name"	"Latitude"	"Longitude"	"Focal Depth (km)"	"Mag"	"MMI Int"	"Deaths"	"Death Description"	"Missing"	"Missing Description"	"Injuries"	"Injuries Description"	"Damage ($Mil)"	"Damage Description"	"Houses Destroyed"	"Houses Destroyed Description"	"Houses Damaged"	"Houses Damaged Description"	"Total Deaths"	"Total Death Description"	"Total Missing"	"Total Missing Description"	"Total Injuries"	"Total Injuries Description"	"Total Damage ($Mil)"	"Total Damage Description"	"Total Houses Destroyed"	"Total Houses Destroyed Description"	"Total Houses Damaged"	"Total Houses Damaged Description"
"[""1995 <= Year >= 2000""]"																																						
	1998	5	30	6	22	28.9			"AFGHANISTAN:  BADAKHSHAN, TAKHAR"	37.106	70.11	33	6.6		4700	4				4	10	3		4			4700	4				4	10	3		4		
	1998	5	30	18	18	15	5742		"SANRIKU, JAPAN"	39.027	143.441	33	6.2																									
	1998	6	27	13	55	52			"TURKEY:  ADANA, CEYHAN"	36.878	35.307	33	6.3	8	145	3			1500	4	550	4	1700	4			145	3			1500	4	550	4	1700	4		
	1998	7	9	5	19	7.3			"AZORES:  FAIAL, PICO, TERCEIRA"	38.65	-28.626	10	6.2		10	1			100	2	72	4	1500	4		3	10	1			100	2	72	4	1500	4		3
	1998	7	9	14	19	18.4			"ARMENIA-AZERBAIJAN-IRAN:  ASTARA, BILASUVAR, IMISLI"	38.717	48.507	26	6									2												2				
	1998	7	17	4	51	14.7			"TAIWAN:  CHIA-I, TAINAN, HUALIEN, KAO-HSIUNG"	23.407	120.736	13	5.7	5	5	1			27	1		1					5	1			27	1		1				
	1998	7	17	8	49	16.1	2281		"PAPUA NEW GUINEA:  SISSANO"	-2.943	142.582	25	7														1636	4			1000	3		3		3		
	1998	8	4	18	59	20.1			"ECUADOR:  BAHIA DE CARAQUEZ, CANOA"	-0.593	-80.393	33	7.2		3	1			40	1		2				3	3	1			40	1		2				2
	1998	8	27	9	3	36.6			"CHINA:  SOUTHERN XINJIANG:  JIASHI"	39.66	77.343	33	6.4		3	1			7	1		3	3600	4	18771	4	3	1			7	1		3	3600	4	18771	4
	1998	9	28	13	34	30.4			"INDONESIA:  JAWA, MALANG, BLITAR, BANTUR"	-8.194	112.413	152	6.6		1	1						1	38	1	62	2	1	1						1	38	1	62	2
	1998	9	29	22	14	49.5			"BALKANS NW:  SERBIA:  BELGRADE, LJIG, VALJEVO"	44.209	20.08	10	5.5	8	1	1			17	1		2		3			1	1			17	1		2		3		
	1998	9	30	23	42	54.2			"ALBANIA:  KUKES, PESHKOPI"	41.925	20.39	10	5.3									2	700	3										2	700	3		
	1998	10	5	2	20	33.9			"IRAN:  WESTERN:  DARREH SHAHR, POL-E-DOKHTAR"	33.199	47.225	39	5.4									1			100	2								1			100	2
	1998	11	13	13	1	10.5			"IRAN:  SOUTHERN:  BIGHERD-KHONJ"	27.791	53.608	33	5.4		5	1			105	3		2			850	3	5	1			105	3				2	850	3
	1998	11	19	11	38	14.8			"CHINA:  SICHUAN PROVINCE: HUAPING, LIJIANG, NINGLAG"	27.308	101.029	33	5.6		5	1			1543	4	70	4	12000	4	12000	4	5	1			1543	4	70	4	12000	4		
	1998	11	29	14	10	31.9	2588		"INDONESIA:  MANGOLE, MANADO, TALIABU"	-2.071	124.891	33	7.7	7	41	1			107	3	200	4	1000	3			41	1			107	3	200	4	1000	3		
	1998	12	1	7	37	56.1			"CHINA:  YUNNAN PROVINCE  SOUTHEASTERN"	26.373	104.021	10	4.5						84	2	22.6	3	21872	4	21872	4					84	2	22.6	3	21872	4		
	1999	1	25	18	19	16.8			"COLOMBIA:  ARMENIA, CALARCA, PEREIRA, CALDAS, HUILA"	4.461	-75.724	17	6.2		1185	4	700	3	4750	4	1857.366	4		4			1185	4	700	3	4750	4	1857.366	4		4		
	1999	2	1	23	57	52.9			"RUSSIA:  MAKHACHKALA, DAGESTAN"	42.962	46.954	33	3.2	3							0.9	1											0.9	1				
	1999	2	2	13	45	16.8			"SPAIN:  MULA, PUEBLA DE MULA"	38.193	-1.566	10	4.8	7					20	1	44.004	4				3					20	1	44.004	4				3
	1999	2	11	14	8	51.6			"AFGHANISTAN:  LOWGAR, VARDAK, KABUL"	34.259	69.364	33	6		70	2			500	3		3	7000	4	7000	4	70	2			500	3		3	7000	4		
	1999	3	4	5	38	26.5			"IRAN:  SOUTHERN:  KERMAN"	28.343	57.193	33	6.6		1	1						2			517	3	1	1						2			517	3
	1999	3	11	13	18	9.3			"CHINA:  NE: ZHANGBEI COUNTY"	41.131	114.658	33	5.1						3	1		2	200	3							3	1		2	200	3		
	1999	3	28	19	5	11			"INDIA:  CHAMOLI, RUDRAPRAYAG, TEHRI GARHWAL"	30.512	79.403	15	6.6	8	100	2			394	3	70	4	21100	4	21100	4	100	2			394	3		4	21100	4		
	1999	4	3	6	17	18.3			"PERU:  CAMANA, AREQUIPA"	-16.66	-72.662	87	6.8	6	1	1			50	1		2			300	2	1	1			50	1		2			300	3
	1999	5	6	23	0	53.1			"IRAN:  SOUTHERN:  FARS PROVINCE"	29.501	51.88	33	6.2	8	26	1			100	2		2	800	3			26	1			100	2		2	800	3		
	1999	6	4	9	12	50			"AZERBAIJAN:  AGDAS, UCAR, AGALI"	40.802	47.448	33	5.4	5	1	1			18	1	5	2			50	1	1	1			18	1	5	2			50	1
